# idx_agent, opinion
    0,                         0
    1,                     0.005
    2,                      0.01
    3,                     0.015
    4,                      0.02
    5,                     0.025
    6,                      0.03
    7,                     0.035
    8,                      0.04
    9,                     0.045
   10,                      0.05
   11,                     0.055
   12,                      0.06
   13,                     0.065
   14,                      0.07
   15,                     0.075
   16,                      0.08
   17,                     0.085
   18,                      0.09
   19,                     0.095
   20,                       0.1
   21,                     0.105
   22,                      0.11
   23,                     0.115
   24,                      0.12
   25,                     0.125
   26,                      0.13
   27,                     0.135
   28,                      0.14
   29,                     0.145
   30,                      0.15
   31,                     0.155
   32,                      0.16
   33,                     0.165
   34,                      0.17
   35,                     0.175
   36,                      0.18
   37,                     0.185
   38,                      0.19
   39,                     0.195
   40,                       0.2
   41,                     0.205
   42,                      0.21
   43,                     0.215
   44,                      0.22
   45,                     0.225
   46,                      0.23
   47,                     0.235
   48,                      0.24
   49,                     0.245
   50,                      0.25
   51,                     0.255
   52,                      0.26
   53,                     0.265
   54,                      0.27
   55,                     0.275
   56,                      0.28
   57,                     0.285
   58,                      0.29
   59,                     0.295
   60,                       0.3
   61,                     0.305
   62,                      0.31
   63,                     0.315
   64,                      0.32
   65,                     0.325
   66,                      0.33
   67,                     0.335
   68,                      0.34
   69,                     0.345
   70,                      0.35
   71,                     0.355
   72,                      0.36
   73,                     0.365
   74,                      0.37
   75,                     0.375
   76,                      0.38
   77,                     0.385
   78,                      0.39
   79,                     0.395
   80,                       0.4
   81,                     0.405
   82,                      0.41
   83,                     0.415
   84,                      0.42
   85,                     0.425
   86,                      0.43
   87,                     0.435
   88,                      0.44
   89,                     0.445
   90,                      0.45
   91,                     0.455
   92,                      0.46
   93,                     0.465
   94,                      0.47
   95,                     0.475
   96,                      0.48
   97,                     0.485
   98,                      0.49
   99,                     0.495
  100,                       0.5
  101,                     0.505
  102,                      0.51
  103,                     0.515
  104,                      0.52
  105,                     0.525
  106,                      0.53
  107,                     0.535
  108,                      0.54
  109,                     0.545
  110,                      0.55
  111,                     0.555
  112,                      0.56
  113,                     0.565
  114,                      0.57
  115,                     0.575
  116,                      0.58
  117,                     0.585
  118,                      0.59
  119,                     0.595
  120,                       0.6
  121,                     0.605
  122,                      0.61
  123,                     0.615
  124,                      0.62
  125,                     0.625
  126,                      0.63
  127,                     0.635
  128,                      0.64
  129,                     0.645
  130,                      0.65
  131,                     0.655
  132,                      0.66
  133,                     0.665
  134,                      0.67
  135,                     0.675
  136,                      0.68
  137,                     0.685
  138,                      0.69
  139,                     0.695
  140,                       0.7
  141,                     0.705
  142,                      0.71
  143,                     0.715
  144,                      0.72
  145,                     0.725
  146,                      0.73
  147,                     0.735
  148,                      0.74
  149,                     0.745
  150,                      0.75
  151,                     0.755
  152,                      0.76
  153,                     0.765
  154,                      0.77
  155,                     0.775
  156,                      0.78
  157,                     0.785
  158,                      0.79
  159,                     0.795
  160,                       0.8
  161,                     0.805
  162,                      0.81
  163,                     0.815
  164,                      0.82
  165,                     0.825
  166,                      0.83
  167,                     0.835
  168,                      0.84
  169,                     0.845
  170,                      0.85
  171,                     0.855
  172,                      0.86
  173,                     0.865
  174,                      0.87
  175,                     0.875
  176,                      0.88
  177,                     0.885
  178,                      0.89
  179,                     0.895
  180,                       0.9
  181,                     0.905
  182,                      0.91
  183,                     0.915
  184,                      0.92
  185,                     0.925
  186,                      0.93
  187,                     0.935
  188,                      0.94
  189,                     0.945
  190,                      0.95
  191,                     0.955
  192,                      0.96
  193,                     0.965
  194,                      0.97
  195,                     0.975
  196,                      0.98
  197,                     0.985
  198,                      0.99
  199,                     0.995
