Source,Target,Weight
0,3,0.14446034937992014
0,4,0.1495818604630703
0,5,0.12980832944239354
0,9,0.08980152843166306
0,11,0.030870652561222612
0,12,0.03985912236518223
0,13,0.010090150952197853
0,14,0.09828574057104042
0,17,0.1091936588123126
0,18,0.05333323353945794
0,0,0.14471537348153932
1,0,0.015841838952164376
1,4,0.08819872898398709
1,5,0.026329567428217498
1,9,0.10159761604493783
1,11,0.13965710368920628
1,14,0.09886378750801796
1,15,0.09988364695394308
1,16,0.06486133329660909
1,17,0.11636844066876044
1,18,0.14878065437150279
1,1,0.09961728210265354
2,1,0.019066476577961844
2,3,0.16021303740419734
2,4,0.0835066624134882
2,9,0.03417102126235183
2,12,0.13809764686965612
2,13,0.09734435887319065
2,16,0.13049024946754717
2,17,0.04797183997342561
2,18,0.014601611108271993
2,19,0.15774187567607342
2,2,0.11679522037383556
3,0,0.05669716081301938
3,6,0.16549888872125246
3,7,0.0620271993298332
3,10,0.13408054750961962
3,12,0.06098496268106427
3,13,0.15594180161078586
3,14,0.004403033068789022
3,16,0.03994268023091359
3,17,0.12339114842498705
3,18,0.13714721167341137
3,3,0.05988536593632413
4,1,0.07890002261247607
4,2,0.24940814297284525
4,3,0.1867137876581978
4,5,0.004088414735373788
4,9,0.02846398646079712
4,11,0.0020054164702569526
4,12,0.05267135812398615
4,13,0.10883993688432445
4,15,0.02595994896812456
4,16,0.08525534217728745
4,4,0.17769364293633047
5,4,0.14815307980384254
5,6,0.11157685211563942
5,9,0.04409842723365831
5,10,0.08911688302175544
5,12,0.029455656889106386
5,13,0.09310115798220649
5,14,0.03775240801311088
5,16,0.09913567593784103
5,17,0.18262434178298162
5,18,0.09718905164735743
5,5,0.06779646557250049
6,1,0.018311553335762537
6,3,0.10338979611643634
6,5,0.029204706038931244
6,8,0.10600036403028636
6,9,0.007910850832930824
6,10,0.13881984481038007
6,11,0.1441864516269701
6,17,0.11689196220228848
6,18,0.14196709616571854
6,19,0.05210885890787683
6,6,0.1412085159324189
7,0,0.15026214641742255
7,1,0.11287030541134854
7,4,0.04116790231057979
7,5,0.061640379360852614
7,6,0.028947702420815232
7,8,0.13315366752877497
7,9,0.0645474444582939
7,11,0.08574817789583591
7,12,0.137494231002007
7,13,0.12452810789963792
7,7,0.05963993529443171
8,1,0.04198410486944965
8,10,0.03145696159134063
8,11,0.09824068795571866
8,12,0.17716906008586455
8,13,0.004770435801130384
8,15,0.09994906702214228
8,16,0.20200725725973734
8,17,0.12084202729119799
8,18,0.12273243529546737
8,19,0.056285359435037534
8,8,0.04456260339291386
9,0,0.10986437989353265
9,1,0.026339939030869064
9,2,0.013211025534905574
9,3,0.01713650945056324
9,4,0.20138949318312757
9,7,0.07112248022531857
9,11,0.004565786486809113
9,12,0.19433316712237375
9,16,0.09586124098011793
9,17,0.05997833174107093
9,9,0.2061976463513117
10,2,0.17045120945316167
10,3,0.06639171186284686
10,5,0.0744544506668569
10,7,0.11713875371668457
10,9,0.11275393635862876
10,11,0.15294552631850702
10,12,0.09514990410712647
10,14,0.015912262107559128
10,16,0.0720113665838594
10,17,0.008746959837106077
10,10,0.11404391898766343
11,3,0.17249566821089793
11,5,0.11261178751757055
11,6,0.09470368929667376
11,7,0.16230127006918904
11,8,0.14304821520531036
11,9,0.010181190473082984
11,13,0.08098224176775386
11,16,0.0982396642886596
11,17,0.006883798891408641
11,18,0.11528588101649849
11,11,0.003266593262954728
12,0,0.09846151097469068
12,3,0.137033159740162
12,6,0.11994058243845807
12,10,0.09152628960814566
12,11,0.035340492848528415
12,13,0.11226503207097413
12,14,0.04992673497955701
12,16,0.14470293450808364
12,17,0.04041416247438572
12,19,0.12546295595074927
12,12,0.04492614440626538
13,0,0.10908716752040748
13,1,0.13017009811478114
13,2,0.04438374328024749
13,6,0.021709447117782776
13,9,0.04653786517888591
13,10,0.17570050338321075
13,11,0.019830916272548932
13,12,0.10714758859201455
13,16,0.16644657892450984
13,17,0.10819325012141227
13,13,0.07079284149419883
14,3,0.09351767299955005
14,4,0.11218444458515739
14,7,0.10555321513892782
14,9,0.044120549373718926
14,10,0.0442304280661078
14,12,0.06225489072368324
14,15,0.14000299054275595
14,17,0.14080865308357154
14,18,0.12707181176545942
14,19,0.05467688741896947
14,14,0.07557845630209825
15,2,0.0878613334951077
15,3,0.05661226552698981
15,5,0.0840854082539587
15,9,0.12964228713103407
15,11,0.02431020329600412
15,12,0.17696520707043803
15,13,0.093937595048088
15,16,0.08416406108601913
15,18,0.17086305031242424
15,19,0.07012745476481837
15,15,0.021431134015117786
16,1,0.12173620775606375
16,2,0.06023394851116395
16,4,0.13220478665950183
16,5,0.12621763224353758
16,6,0.046816907246084914
16,8,0.08727430951169961
16,12,0.09334670039987607
16,15,0.07050940684196422
16,17,0.09498068403737615
16,18,0.14083811517460568
16,16,0.0258413016181261
17,3,0.07666429277195881
17,4,0.1698038896012394
17,5,0.08315859847767687
17,6,0.057922737943923476
17,7,0.052803483946002615
17,8,0.1174734101072552
17,11,0.01904582081986433
17,14,0.12173184459552339
17,16,0.13648612242806277
17,19,0.09322590279477104
17,17,0.07168389651372219
18,1,0.0844522221544435
18,2,0.11471123720523235
18,3,0.014479364520945674
18,6,0.10803167663942559
18,7,0.07376129642362801
18,8,0.08689861509215936
18,9,0.025535055343767946
18,13,0.16668421170571796
18,14,0.06944382854973007
18,17,0.17037412720018058
18,18,0.08562836516476886
19,2,0.04741162132024682
19,5,0.07894934508176622
19,6,0.11551727983802626
19,8,0.11193678539277013
19,11,0.0784120706363725
19,13,0.09908599185226225
19,14,0.05424245339017181
19,15,0.0824194556671629
19,16,0.12156502276223334
19,18,0.1239593976984942
19,19,0.0865005763604935
